Date : 2025-07-03 18:17:41
Directory : /home/kyutsune/Bring-me-the-engine
Total : 61 files,  2723 codes, 142 comments, 678 blanks, all 3543 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| /home/kyutsune/Bring-me-the-engine/include/ui/Menu.h                  | C++          |         24 |          1 |          8 |         33 |
| /home/kyutsune/Bring-me-the-engine/include/ui/Sections.h              | C++          |         10 |          0 |          4 |         14 |
| /home/kyutsune/Bring-me-the-engine/rebuild.sh                         | Shell Script |          5 |          1 |          1 |          7 |
| /home/kyutsune/Bring-me-the-engine/shaders/bounding_box.frag          | GLSL         |          6 |          0 |          3 |          9 |
| /home/kyutsune/Bring-me-the-engine/shaders/bounding_box.vert          | GLSL         |          8 |          0 |          2 |         10 |
| /home/kyutsune/Bring-me-the-engine/shaders/debug/quad.frag            | GLSL         |          8 |          0 |          1 |          9 |
| /home/kyutsune/Bring-me-the-engine/shaders/debug/quad.vert            | GLSL         |          9 |          0 |          3 |         12 |
| /home/kyutsune/Bring-me-the-engine/shaders/light_pos.frag             | GLSL         |          6 |          0 |          0 |          6 |
| /home/kyutsune/Bring-me-the-engine/shaders/light_pos.vert             | GLSL         |          8 |          0 |          0 |          8 |
| /home/kyutsune/Bring-me-the-engine/shaders/shadow.frag                | GLSL         |          4 |          0 |          0 |          4 |
| /home/kyutsune/Bring-me-the-engine/shaders/shadow.vert                | GLSL         |          8 |          0 |          4 |         12 |
| /home/kyutsune/Bring-me-the-engine/shaders/skybox.frag                | GLSL         |          7 |          0 |          2 |          9 |
| /home/kyutsune/Bring-me-the-engine/shaders/skybox.vert                | GLSL         |         10 |          0 |          3 |         13 |
| /home/kyutsune/Bring-me-the-engine/shaders/vertex.frag                | GLSL         |        139 |         15 |         38 |        192 |
| /home/kyutsune/Bring-me-the-engine/shaders/vertex.vert                | GLSL         |         30 |          0 |         10 |         40 |
| /home/kyutsune/Bring-me-the-engine/src/Globals.cpp                    | C++          |          6 |          0 |          1 |          7 |
| /home/kyutsune/Bring-me-the-engine/src/camera/Camera.cpp              | C++          |          7 |          0 |          2 |          9 |
| /home/kyutsune/Bring-me-the-engine/src/camera/Frustum.cpp             | C++          |        101 |         13 |         32 |        146 |
| /home/kyutsune/Bring-me-the-engine/src/engine/Entity.cpp              | C++          |         58 |          0 |         11 |         69 |
| /home/kyutsune/Bring-me-the-engine/src/engine/LightingManager.cpp     | C++          |         88 |          7 |         19 |        114 |
| /home/kyutsune/Bring-me-the-engine/src/engine/Mesh.cpp                | C++          |         55 |          8 |         20 |         83 |
| /home/kyutsune/Bring-me-the-engine/src/engine/Scene.cpp               | C++          |         89 |          7 |         15 |        111 |
| /home/kyutsune/Bring-me-the-engine/src/input/ClavierSouris.cpp        | C++          |         76 |          5 |         24 |        105 |
| /home/kyutsune/Bring-me-the-engine/src/main.cpp                       | C++          |         80 |         10 |         23 |        113 |
| /home/kyutsune/Bring-me-the-engine/src/math/PlaneBoundingVolume.cpp   | C++          |         95 |          1 |         17 |        113 |
| /home/kyutsune/Bring-me-the-engine/src/math/Vec.cpp                   | C++          |        270 |          4 |         56 |        330 |
| /home/kyutsune/Bring-me-the-engine/src/rendering/Renderer.cpp         | C++          |        169 |         14 |         43 |        226 |
| /home/kyutsune/Bring-me-the-engine/src/rendering/Shader.cpp           | C++          |         89 |          0 |         22 |        111 |
| /home/kyutsune/Bring-me-the-engine/src/rendering/Skybox.cpp           | C++          |         95 |          0 |         23 |        118 |
| /home/kyutsune/Bring-me-the-engine/src/rendering/Texture.cpp          | C++          |         36 |          3 |         10 |         49 |
| /home/kyutsune/Bring-me-the-engine/src/ui/Menu.cpp                    | C++          |         54 |          3 |         16 |         73 |
| /home/kyutsune/Bring-me-the-engine/src/ui/Sections.cpp                | C++          |         84 |          0 |         15 |         99 |
| /home/kyutsune/Bring-me-the-engine/tests/test_vec.cpp                 | C++          |         12 |          0 |          4 |         16 |
| Total                                                                 |              |      2,723 |        142 |        678 |      3,543 |
+-----------------------------------------------------------------------+--------------+------------+------------+------------+------------+
